type,beds,bath,propertysqft,locality,sublocality,label
Condo_for_sale,2,2,1400,New_York,Manhattan,0
Condo_for_sale,7,10,17545,New_York,New_York_County,1
House_for_sale,4,2,2015,New_York,Richmond_County,0
Condo_for_sale,3,1,445,New_York,New_York_County,0
House_for_sale,5,2,4004,New_York,Kings_County,0
House_for_sale,8,16,33000,New_York,Richmond_County,1
Co_op_for_sale,1,1,750,The_Bronx,East_Bronx,0
Co_op_for_sale,2,1,978,Kings_County,Brooklyn,0
Co_op_for_sale,2,1,850,Bronx_County,The_Bronx,0
Condo_for_sale,2,2,1000,Richmond_County,Staten_Island,0
Townhouse_for_sale,3,2,1734,New_York,Queens_County,0
Co_op_for_sale,3,1,325,Kings_County,Brooklyn,0
Co_op_for_sale,1,1,700,Bronx_County,The_Bronx,0
Condo_for_sale,2,2,974,Queens_County,Queens,0
House_for_sale,3,2,1260,New_York,Richmond_County,0
Condo_for_sale,2,2,1244,Queens_County,Queens,1
Multi_family_home_for_sale,6,3,2837,New_York,Bronx_County,1
Condo_for_sale,1,1,651,Richmond_County,Staten_Island,0
House_for_sale,2,2,1330,New_York,Richmond_County,0
Multi_family_home_for_sale,6,4,2200,New_York,Queens_County,1
Multi_family_home_for_sale,10,6,3156,Richmond_County,Staten_Island,1
Multi_family_home_for_sale,5,2,2750,New_York,Bronx_County,0
Condo_for_sale,1,2,794,New_York,Richmond_County,0
Multi_family_home_for_sale,10,8,5040,Richmond_County,Staten_Island,1
Multi_family_home_for_sale,5,4,2080,New_York,Kings_County,0
Co_op_for_sale,1,1,750,Kings_County,Brooklyn,0
Condo_for_sale,1,1,602,Kings_County,Brooklyn,0
Multi_family_home_for_sale,11,4,3156,Richmond_County,Staten_Island,1
Condo_for_sale,1,1,815,Kings_County,Brooklyn,1
Multi_family_home_for_sale,6,5,3290,New_York,Richmond_County,1
Multi_family_home_for_sale,6,2,3053,New_York,Bronx_County,0
Multi_family_home_for_sale,8,4,3200,New_York,Kings_County,1
Multi_family_home_for_sale,7,5,2460,New_York,Queens_County,1
Multi_family_home_for_sale,4,3,1591,New_York,Queens_County,0
Co_op_for_sale,3,2,2400,New_York_County,New_York,1
Condo_for_sale,2,1,837,Richmond_County,Staten_Island,0
Multi_family_home_for_sale,2,2,1520,New_York,Richmond_County,0
Multi_family_home_for_sale,4,2,2536,New_York,Kings_County,1
Co_op_for_sale,2,1,900,Richmond_County,Staten_Island,0
Multi_family_home_for_sale,3,3,2739,New_York,Kings_County,1
Co_op_for_sale,2,2,1300,New_York,Manhattan,1
Condo_for_sale,2,2,1267,Kings_County,Brooklyn,1
Multi_family_home_for_sale,4,4,2554,New_York,Richmond_County,1
House_for_sale,3,4,2400,New_York,Richmond_County,0
House_for_sale,3,4,2400,United_States,New_York,0
For_sale,3,2,1952,Kings_County,Brooklyn,1
Co_op_for_sale,1,1,800,Kings_County,Brooklyn,0
Co_op_for_sale,1,1,835,New_York_County,New_York,0
Condo_for_sale,2,2,1029,New_York_County,New_York,1
Condo_for_sale,2,2,1201,Kings_County,Brooklyn,1
Condo_for_sale,2,2,1182,Kings_County,Brooklyn,1
Contingent,3,2,1400,New_York,Richmond_County,0
Condo_for_sale,3,3,1413,New_York,Kings_County,1
Condo_for_sale,3,2,803,New_York,Kings_County,0
Condo_for_sale,2,2,1115,Kings_County,Brooklyn,1
Multi_family_home_for_sale,3,4,2150,New_York,Richmond_County,0
Condo_for_sale,3,4,4492,New_York_County,New_York,1
Condo_for_sale,2,2,1065,New_York_County,New_York,1
Condo_for_sale,2,2,1065,New_York_County,New_York,1
Townhouse_for_sale,5,4,3344,New_York,New_York_County,1
Condo_for_sale,3,2,2223,New_York_County,New_York,1
House_for_sale,3,2,1100,New_York,Richmond_County,0
House_for_sale,3,1,1316,New_York,Kings_County,0
Condo_for_sale,1,1,625,New_York_County,New_York,0
For_sale,1,1,621,New_York,New_York_County,0
House_for_sale,3,1,1572,New_York,Kings_County,0
Condo_for_sale,5,1,1000,New_York,New_York_County,0
Multi_family_home_for_sale,6,3,2520,New_York,Richmond_County,0
Co_op_for_sale,2,2,1100,Kings_County,Brooklyn,0
Co_op_for_sale,4,2,1995,Bronx_County,The_Bronx,1
House_for_sale,7,3,2385,New_York,Bronx_County,0
House_for_sale,8,8,12000,New_York,New_York_County,1
Co_op_for_sale,1,1,1000,Kings_County,Brooklyn,0
House_for_sale,3,2,1440,New_York,Richmond_County,0
For_sale,2,2,1400,New_York,New_York_County,1
House_for_sale,5,2,3528,New_York,Kings_County,1
Condo_for_sale,2,1,979,New_York_County,New_York,0
Townhouse_for_sale,6,5,4720,New_York,New_York_County,1
House_for_sale,3,3,1360,New_York,Richmond_County,0
House_for_sale,4,2,2846,New_York,Bronx_County,0
House_for_sale,4,2,1980,New_York,Kings_County,0
House_for_sale,4,2,1980,New_York,Kings_County,0
House_for_sale,3,2,1224,New_York,Richmond_County,0
House_for_sale,9,4,3276,New_York,New_York_County,1
House_for_sale,3,2,1522,New_York,Queens_County,0
House_for_sale,4,2,1975,New_York,Richmond_County,0
Co_op_for_sale,3,2,1089,New_York,Bronx_County,0
House_for_sale,4,4,2704,New_York,Richmond_County,1
Condo_for_sale,5,6,5499,New_York,New_York_County,1
Condo_for_sale,2,2,966,Richmond_County,Staten_Island,0
Condo_for_sale,3,2,1200,Queens_County,Queens,0
Condo_for_sale,1,1,630,New_York_County,New_York,0
Co_op_for_sale,2,1,700,New_York,Bronx_County,0
Multi_family_home_for_sale,12,6,5508,New_York,Queens_County,1
Foreclosure,5,4,3740,New_York,New_York_County,1
Co_op_for_sale,3,4,1993,Queens_County,Queens,1
Condo_for_sale,3,2,1182,Queens_County,Queens,0
House_for_sale,5,2,1760,New_York,Bronx_County,0
Multi_family_home_for_sale,5,4,3132,New_York,Bronx_County,1
Townhouse_for_sale,10,9,6425,New_York,New_York_County,1
Pending,1,1,660,New_York,Richmond_County,0
House_for_sale,11,10,24000,New_York,New_York_County,1
Condo_for_sale,4,3,1794,New_York_County,New_York,0
House_for_sale,2,1,490,New_York,Richmond_County,0
Co_op_for_sale,1,1,450,Bronx_County,The_Bronx,0
For_sale,2,2,1132,New_York,New_York_County,1
House_for_sale,4,2,2244,New_York,Queens_County,0
House_for_sale,3,4,3500,New_York,Richmond_County,1
House_for_sale,3,2,1150,New_York,Richmond_County,0
House_for_sale,3,4,3150,New_York,Kings_County,1
Co_op_for_sale,2,2,1549,Queens_County,Queens,0
House_for_sale,3,2,2250,New_York,Queens_County,1
Condo_for_sale,3,2,2000,New_York,Manhattan,1
House_for_sale,4,6,8333,New_York,Richmond_County,1
House_for_sale,5,4,3024,New_York,Queens_County,1
Townhouse_for_sale,6,6,6000,New_York,New_York_County,1
House_for_sale,3,2,2400,New_York,Kings_County,0
House_for_sale,4,2,1238,New_York,Richmond_County,0
Townhouse_for_sale,4,2,1892,New_York,Kings_County,1
House_for_sale,4,4,2000,New_York,Richmond_County,0
House_for_sale,4,4,2688,New_York,Richmond_County,1
House_for_sale,3,2,2052,New_York,Kings_County,1
House_for_sale,4,4,2100,New_York,Richmond_County,0
House_for_sale,3,2,1743,New_York,Queens_County,0
Contingent,3,2,1784,New_York,Richmond_County,0
Condo_for_sale,1,1,750,Queens_County,Queens,0
House_for_sale,5,3,496,New_York,Bronx_County,0
House_for_sale,3,4,1320,New_York,Kings_County,1
House_for_sale,4,2,2686,New_York,Bronx_County,0
For_sale,3,1,230,New_York_County,New_York,0
Coming_Soon,5,2,2250,New_York,Kings_County,1
Townhouse_for_sale,4,4,2508,New_York,Kings_County,1
House_for_sale,3,2,1440,New_York,Richmond_County,0
House_for_sale,3,2,864,New_York,Richmond_County,0
House_for_sale,3,2,825,New_York,Kings_County,0
For_sale,6,6,6688,New_York,Kings_County,1
House_for_sale,2,1,586,New_York,Richmond_County,0
Condo_for_sale,2,2,792,Kings_County,Brooklyn,0
Co_op_for_sale,3,2,1250,New_York,Kings_County,0
House_for_sale,3,2,1008,New_York,Richmond_County,0
Co_op_for_sale,3,2,1405,New_York,Queens_County,0
House_for_sale,5,4,6800,New_York,New_York_County,1
Multi_family_home_for_sale,9,6,3519,New_York,Kings_County,1
